transact_date,transact_cbidpx,transact_cvalue,transact_caskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2018-03-14,1.26,1.29,1.38,MSFT,95.84,2018-04-27,0.00000,100.00,2117,12244,150,975,0.01,0.00,0.01,4.10,4.17,4.25,3.55254,3.55254,3.55254,0.55909,0.00000,0.00000,0.00000,0.01620,0.00000,0.016226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.140140,0.0000,3.2067,NULL,2018-04-27,1.29,NULL,NULL,1.38
2018-04-05,1.67,1.68,1.69,MSFT,96.52,2018-05-18,0.00000,97.50,1539,10599,2016,5826,0.01,0.00,0.01,0.95,0.98,0.99,1.06774,1.06774,1.06774,0.26033,0.00000,0.53387,1.06775,0.01680,0.00000,0.016811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.023650,0.2126,0.2274,NULL,2018-05-18,1.68,NULL,NULL,3.06
2018-04-12,1.18,1.20,1.21,MSFT,98.29,2018-05-25,0.00000,100.00,245,3708,760,749,0.01,0.00,0.01,1.68,1.71,1.75,1.64985,1.64985,1.64985,0.35911,0.00000,1.08479,2.16959,0.01700,0.00000,-2.172989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.110580,0.0349,0.7621,NULL,2018-05-25,1.20,NULL,NULL,4.26
2018-04-20,1.46,1.50,1.51,MSFT,100.53,2018-06-01,0.00000,99.50,2812,3602,1681,658,0.99,1.03,1.08,0.01,0.00,0.01,0.00000,0.78649,1.57298,0.91991,1.07787,1.07787,1.07787,0.01740,0.00000,0.000000,0.979344,0.097588,-1.147944,0.000270,0.000030,-0.000030,-1.143300,0.224744,2.0354,0.0000,NULL,2018-06-01,0.47,NULL,NULL,4.73
2018-05-03,1.42,1.26,1.44,MSFT,100.53,2018-06-15,0.03836,97.50,2291,51144,695,27521,3.40,3.65,3.55,0.36,0.53,0.37,0.16532,0.17989,0.19447,0.21125,0.18074,0.18168,0.18263,0.01740,0.00000,-0.006221,0.783035,0.070828,-0.048618,0.057596,0.028818,-0.030217,-0.043760,0.189803,4.3694,0.2464,NULL,2018-06-01,-2.39,2018-06-04,False,2.34
2018-06-07,1.42,1.42,1.43,MSFT,106.45,2018-07-20,0.00000,105.00,43317,54042,7343,14345,1.40,1.45,1.45,0.01,0.00,0.01,0.00000,0.60071,1.20142,0.52359,1.34580,1.34580,1.34580,0.01860,0.00000,0.000000,0.999999,0.000011,-0.005398,0.000000,0.000032,-0.000032,-0.000047,0.259748,2.5095,0.0000,NULL,2018-07-20,-0.03,NULL,NULL,2.31
2018-07-05,1.17,1.25,1.18,MSFT,107.38,2018-08-17,0.06575,105.00,1693,23842,6406,12546,3.25,3.20,3.40,0.95,0.89,0.96,0.17132,0.17905,0.18679,0.16569,0.17243,0.17295,0.17347,0.01920,0.00000,-0.034058,0.704075,0.076048,-0.043471,0.094591,0.047612,-0.049539,-0.032910,0.190436,4.2054,0.8175,NULL,2018-07-24,-1.95,2018-07-25,False,0.36
2018-07-13,1.45,1.43,1.49,MSFT,108.15,2018-08-24,0.00000,109.00,4097,5718,1305,1356,0.01,0.00,0.01,0.83,0.85,1.00,0.76172,0.76172,0.76172,0.26291,0.00000,0.84648,1.69296,0.01950,0.00000,0.299250,0.000000,0.000011,-0.000012,0.000000,0.000000,0.000000,-0.000012,0.468754,0.2734,0.0429,NULL,2018-08-24,1.43,NULL,NULL,1.79
2018-07-19,1.73,1.76,1.78,MSFT,112.09,2018-08-31,0.00000,108.00,464,7175,56,12061,4.05,4.09,4.10,0.01,0.00,0.01,0.00000,1.52726,3.05453,0.01404,2.93009,2.93009,2.93009,0.01950,0.00000,1.603794,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165006,5.2109,0.0000,NULL,2018-08-31,-2.33,NULL,NULL,-0.54
2018-07-27,1.17,1.16,1.22,MSFT,108.15,2018-09-07,0.00000,111.00,165,3899,431,2340,0.02,0.00,0.01,2.80,2.85,2.90,2.29289,2.17124,2.04960,0.32920,0.00000,0.00000,0.00000,0.01980,0.00000,-1.224474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502404,0.0000,1.7685,NULL,2018-09-07,1.16,NULL,NULL,0.62
