transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2018-04-27,0.44,0.50,0.45,XLF,27.45,2018-06-15,0.00000,27.00,2026,1261,15798,108707,0.44,0.45,0.45,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.85392,2.06228,2.06228,2.06228,0.01820,0.00000,-7.483717,0.999815,0.005418,-0.558782,0.000001,0.000008,-0.000008,-0.004077,0.230020,0.7256,0.0000,NULL,2018-06-15,0.50,NULL,NULL,6.59
2018-06-08,0.27,0.27,0.28,XLF,27.09,2018-07-20,0.07671,27.00,566,12827,748,138737,0.60,0.60,0.61,0.45,0.45,0.46,0.17421,0.17590,0.17758,0.17480,0.17352,0.17520,0.17689,0.01830,0.00000,-0.011533,0.555673,0.302350,-0.010468,0.029717,0.011090,-0.011552,-0.009287,0.165899,0.7375,0.3175,NULL,2018-06-22,-0.18,2018-06-25,False,6.40
2018-07-06,0.33,0.38,0.34,XLF,28.19,2018-08-17,0.00000,26.00,343,5667,38,26133,2.17,2.19,2.20,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.12568,0.00000,0.00000,0.00000,0.01950,0.00000,0.000000,1.000000,0.000000,-0.001389,0.000000,0.000010,-0.000011,0.000000,0.225322,2.4669,0.0000,NULL,2018-08-17,0.38,NULL,NULL,6.78
2018-08-08,0.32,0.37,0.33,XLF,28.76,2018-09-21,0.00000,28.00,599,1807,1234,90082,0.76,0.76,0.77,0.01,0.00,0.01,0.00000,1.40242,2.80484,0.16863,2.80599,2.80599,2.80599,0.02050,0.00000,0.000000,1.000000,0.000000,-0.001573,0.000000,0.000010,-0.000010,0.000000,0.983866,1.0476,0.0000,NULL,2018-09-21,0.37,NULL,NULL,7.15
2018-08-16,0.24,0.29,0.25,XLF,27.59,2018-09-28,0.00000,27.00,3687,10028,1,14320,0.57,0.59,0.59,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.39240,0.00000,1.19372,2.38745,0.02120,0.00000,0.000000,1.000000,0.000000,-0.001568,0.000000,0.000009,-0.000009,0.000000,0.233001,0.8659,0.0000,NULL,2018-09-28,0.29,NULL,NULL,7.44
2018-09-28,0.38,0.43,0.39,XLF,27.36,2018-11-16,0.10137,27.00,567,2660,8993,62210,0.99,1.06,1.01,0.55,0.61,0.56,0.21568,0.21864,0.22161,0.23623,0.21721,0.21869,0.22017,0.02270,0.00000,-0.010137,0.601748,0.188262,-0.012159,0.033809,0.015621,-0.016695,-0.010773,0.209449,1.1446,0.4247,NULL,2018-10-10,-0.18,2018-10-11,False,7.26
2018-11-09,0.32,0.38,0.34,XLF,25.97,2018-12-21,0.04658,26.00,3202,10092,8442,93013,0.56,0.56,0.58,0.63,0.63,0.67,0.26627,0.27076,0.27524,0.26430,0.26341,0.27237,0.28133,0.02370,0.00000,0.064748,0.492327,0.272644,-0.016123,0.022314,0.004826,-0.005022,-0.017307,0.233486,0.4869,0.5632,NULL,2018-12-04,-0.25,2018-12-06,False,7.01
2018-11-13,0.49,0.51,0.51,XLF,25.58,2018-12-31,0.06849,26.00,62,822,7041,21076,0.38,0.38,0.41,0.89,0.88,0.92,0.21937,0.22520,0.23104,0.22109,0.22645,0.23234,0.23823,0.02360,0.00000,-0.013414,0.383601,0.259465,-0.012271,0.025726,0.006445,-0.006689,-0.011317,0.232030,0.4125,0.9042,NULL,2018-12-06,-0.37,2018-12-07,False,6.64
2018-12-07,0.40,0.47,0.41,XLF,23.94,2019-01-18,0.08493,24.00,1044,35691,1937,163054,0.69,0.69,0.72,0.84,0.84,0.86,0.27325,0.27865,0.28404,0.27464,0.27490,0.27850,0.28211,0.02390,0.00000,0.002970,0.486069,0.210000,-0.012937,0.027812,0.009250,-0.009834,-0.012315,0.276302,0.6985,0.8439,NULL,2018-12-18,-0.37,2018-12-19,False,6.27
2018-12-31,0.56,0.58,0.57,XLF,26.41,2019-02-15,0.00000,23.00,104,1095,1,42751,3.40,3.41,3.45,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.72183,0.00000,0.00000,0.00000,0.02430,0.00000,0.000000,1.000000,0.000000,-0.001531,0.000000,0.000006,-0.000007,0.000000,0.268304,3.4100,0.0000,NULL,2019-02-15,0.58,NULL,NULL,6.85
