transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2019-01-25,3.90,3.96,4.25,UVXY,38.91,2019-03-15,0.00274,50.00,5208,7467,5012,5785,0.01,0.00,0.02,11.00,11.10,11.40,1.94482,2.03143,2.11804,1.12393,0.00000,0.00000,0.00000,0.02480,0.00000,0.167753,0.000009,0.000017,-0.000045,0.000001,0.000000,0.000000,-0.000045,1.024760,0.0000,11.1046,NULL,2019-03-14,-7.14,2019-03-15,False,-41.91
2019-03-07,2.43,2.46,2.50,UVXY,32.99,2019-04-18,0.01644,40.00,768,2683,109,2686,0.15,0.07,0.18,7.10,7.09,7.25,1.02557,1.04869,1.07180,0.87431,0.89417,1.01560,1.13703,0.02410,0.00000,0.050354,0.047380,0.026727,-0.030345,0.004004,0.000238,-0.000249,-0.030433,0.976279,0.1207,7.1422,NULL,2019-04-12,-4.63,2019-04-15,False,-46.54
2019-04-01,3.05,3.12,3.20,UVXY,36.40,2019-05-17,0.00000,35.00,905,1235,4390,5165,1.15,1.40,1.55,0.00,0.01,0.04,0.00000,0.00000,0.00000,1.58657,0.00000,1.16266,2.32533,0.02390,0.00000,9.999999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.590340,1.4000,0.0060,NULL,2019-05-17,3.11,NULL,NULL,-43.43
2019-05-07,3.70,3.93,4.05,UVXY,32.17,2019-06-21,0.00000,37.00,190,1785,83,1386,0.00,0.00,0.01,4.80,4.84,5.05,0.00000,0.00000,0.00000,1.32241,0.00000,0.00000,0.00000,0.02160,0.00000,2.029054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.320470,0.0000,4.8300,NULL,2019-06-21,-0.91,NULL,NULL,-44.34
2019-06-06,2.21,2.25,2.30,UVXY,26.28,2019-07-19,0.00000,31.00,52,809,149,2192,0.00,0.00,0.01,4.65,4.72,4.80,0.00000,0.00000,0.00000,1.44150,0.00000,0.00000,0.00000,0.02110,0.00000,0.566004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.421820,0.0000,4.7200,NULL,2019-07-19,-2.47,NULL,NULL,-46.81
2019-07-05,1.89,1.92,1.93,UVXY,34.19,2019-08-16,0.00000,25.00,77,202,1,6907,9.10,9.19,9.25,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.39003,0.00000,0.00000,0.00000,0.02050,0.00000,2.264143,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.392800,9.1900,0.0000,NULL,2019-08-16,1.92,NULL,NULL,-44.89
2019-08-07,3.45,3.40,3.55,UVXY,25.38,2019-09-20,0.00000,30.00,159,5626,279,3367,0.00,0.00,0.01,4.55,4.62,4.70,0.00000,0.00000,0.00000,2.68815,0.00000,0.00000,0.00000,0.01950,0.00000,-1.561789,0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,-0.000001,1.226080,0.0000,4.6200,NULL,2019-09-20,-1.22,NULL,NULL,-46.11
2019-09-05,1.92,2.07,2.07,UVXY,21.76,2019-10-18,0.00000,25.00,1903,5288,290,2032,0.00,0.00,0.01,3.20,3.25,3.35,0.00000,0.00000,0.00000,0.18678,0.00000,0.00000,0.00000,0.01750,0.00000,4.973487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.213200,0.0000,3.2400,NULL,2019-10-18,-1.18,NULL,NULL,-47.29
2019-09-30,2.91,2.97,3.05,UVXY,16.16,2019-11-15,0.00000,24.00,33,34568,296,28447,0.00,0.00,0.01,7.75,7.84,7.90,0.00000,0.00000,0.00000,0.72920,0.00000,0.00000,0.00000,0.01590,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.938950,0.0000,7.8400,NULL,2019-11-15,-4.87,NULL,NULL,-52.16
2019-11-05,1.48,1.52,1.54,UVXY,12.70,2019-12-20,0.00000,17.00,12,2673,3706,3951,0.00,0.00,0.01,4.25,4.30,4.35,0.00000,0.00000,0.00000,0.71231,0.00000,0.00000,0.00000,0.01570,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.734250,0.0000,4.3000,NULL,2019-12-20,-2.78,NULL,NULL,-54.94
2019-12-05,1.24,1.34,1.26,UVXY,10.62,2020-01-17,0.00000,14.00,85,4950,194,1559,0.00,0.00,0.01,3.35,3.38,3.40,0.00000,0.00000,0.00000,0.64267,0.00000,0.00000,0.00000,0.01540,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.713458,0.0000,3.3800,NULL,2020-01-17,-2.04,NULL,NULL,-56.98
2020-01-03,0.98,0.99,1.04,UVXY,12.49,2020-02-21,0.00000,11.00,5308,5786,15105,15813,1.49,1.49,1.59,0.00,0.00,0.01,0.29999,0.15000,0.00000,1.39194,0.00000,0.00000,0.00000,0.01600,0.00000,0.016013,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.444310,1.4900,0.0000,NULL,2020-02-21,0.99,NULL,NULL,-55.99
2020-02-07,0.83,0.91,0.89,UVXY,90.53,2020-03-20,0.00000,10.00,35,12091,10,42248,78.30,80.53,81.35,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43803,0.00000,0.00000,0.00000,0.00040,0.00000,0.000000,1.000000,0.000000,-0.000011,0.000000,0.000014,-0.000124,0.000000,3.072050,80.5300,0.0000,NULL,2020-03-20,0.91,NULL,NULL,-55.08
2020-03-04,2.99,3.00,3.05,UVXY,44.56,2020-04-17,0.00000,21.00,11,255,0,810,23.35,23.56,24.00,0.00,0.00,0.05,0.00000,0.00000,0.00000,1.55180,0.00000,0.00000,0.00000,0.00120,0.00000,9.999999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541720,23.5600,0.0000,NULL,2020-04-17,3.00,NULL,NULL,-52.08
2020-05-07,5.00,5.09,5.25,UVXY,37.47,2020-06-19,0.00000,37.00,3553,687,1100,1217,0.63,0.68,0.79,0.24,0.29,0.29,2.28536,2.78082,3.27627,2.62165,2.30931,2.46308,2.61684,0.00130,0.00000,9.999999,0.652515,0.345970,-3.381993,0.001581,0.000023,-0.000023,-4.194897,2.671350,0.6909,0.2988,NULL,2020-06-19,4.80,NULL,NULL,-47.28
2020-08-06,2.35,2.38,2.39,UVXY,19.39,2020-09-18,0.00000,20.00,10397,6001,5870,3964,0.01,0.00,0.03,0.59,0.61,0.67,1.68590,1.95522,2.22454,1.46336,0.00000,1.43524,2.87048,0.00090,0.00000,-2.186238,0.036728,0.242476,-0.271663,0.000182,0.000001,-0.000001,-0.267425,1.477420,0.0051,0.6122,NULL,2020-09-18,1.77,NULL,NULL,-45.51
2020-09-01,3.85,3.93,4.05,UVXY,16.62,2020-10-16,0.00000,21.00,155,2974,61,1600,0.00,0.00,0.01,4.35,4.38,4.45,0.00000,0.00000,0.00000,1.79702,0.00000,0.00000,0.00000,0.00090,0.00000,0.001253,0.000000,0.000000,0.000000,0.000010,0.000000,0.000000,0.000000,1.907080,0.0000,4.3800,NULL,2020-10-16,-0.45,NULL,NULL,-45.96
